animal_name,animal_type,primary_breed,primary_color,sex,animal_size,dob,intake_date,outcome_date,intake_type,intake_subtype,outcome_type,outcome_subtype,intake_cond,outcome_cond,crossing
COSITA,DOG,YORKSHIRE TERR,BLACK,F,SMALL,3/10/2011,4/23/2022,00:00.0,STRAY TAGS,OTC,RTO,OFFICE,NORMAL,NORMAL,"400 S ZUNI ST, DENVER CO 80223"
SKITTLES,DOG,GOLDEN RETR,GOLD,N,LARGE,7/24/2009,10/27/2022,00:00.0,OWNER SUR,OTC,DISPOSAL,,DEAD,DEAD,"630 E ELK PL, DENVER CO 80216"
ADDISON,DOG,GOLDEN RETR,BROWN,S,MED,10/31/2010,5/6/2022,00:00.0,CONFISCATE,FIELD,RTO,OFFICE,INJURED,NORMAL,"1041 N GALAPAGO ST, DENVER CO 80204"
ROCCO,DOG,LABRADOR RETR,BLACK,N,LARGE,10/24/2010,12/5/2022,00:00.0,OWNER SUR,OTC,DISPOSAL,DOA,DEAD,CREMATION,"1616 S ZENOBIA ST, DENVER CO 80219"
SOLOMON THE WISE,DOG,CHIHUAHUA LH,TAN,N,SMALL,12/1/2010,10/3/2022,00:00.0,ADOPT RET,OTC,ADOPTION,EMAIL,NORMAL,NORMAL,72 HARLAN ST LAKEWOOD 80226
SOLOMON THE WISE,DOG,CHIHUAHUA LH,TAN,N,SMALL,12/1/2010,9/30/2022,00:00.0,FOSTER IN,OTC,ADOPTION,EMAIL,NORMAL,T/M GERAT,FOSTER IN
SOLOMON THE WISE,DOG,CHIHUAHUA LH,TAN,N,SMALL,12/1/2010,8/29/2022,00:00.0,STRAY TAGS,,FOSTER,,NORMAL,T/M GERAT,"815 S TEJON ST, DENVER CO 80223"
LUNA,DOG,CHIHUAHUA SH,BROWN,S,MED,12/7/2010,9/19/2022,00:00.0,STRAY TAGS,DROP BOX,RTO,OFFICE,NORMAL,NORMAL,"1241 W BAYAUD AVE, DENVER CO 80223"
DAISY,DOG,GOLDEN RETR,CREAM,S,LARGE,8/8/2011,6/2/2022,00:00.0,OWNER SUR,NONCONFIRM,DISPOSAL,DOA,DEAD,DEAD,"2000 W CENTER AVE, DENVER CO 80223"
OREO,DOG,CHIHUAHUA SH,BLACK,N,SMALL,3/1/2011,2/8/2022,00:00.0,CONFISCATE,FIELD,TRANSFER,GRAYMUZZLE,NORMAL,T/M MED MO,"5150 E 34TH AVE, DENVER CO 80207"
PUDDIN,CAT,MANX,BLACK,S,MED,5/22/2006,9/28/2022,00:00.0,CONFISCATE,FIELD,EUTH,,NORMAL,U/U MED SV,"3300 S TAMARAC DR, DENVER CO 80231"
PUSSINA,CAT,DOMESTIC MH,TORTIE,F,SMALL,3/29/2008,6/25/2022,00:00.0,OWNER SUR,OTC,EUTH,U/U EQ,SICK,CREMATION,"115 N BELLAIRE ST, DENVER CO 80220"
TWO COLD,DOG,ROTTWEILER,BLACK,M,LARGE,4/2/2010,11/10/2022,00:00.0,OWNER SUR,OTC,DISPOSAL,DOA,DEAD,CREMATION,"2823 N VINE ST, DENVER CO 80205"
BELLA,DOG,DACHSHUND,BROWN,S,SMALL,11/28/2005,3/12/2022,00:00.0,CONFISCATE,FIELD,DISPOSAL,,DEAD,DEAD,"635 E MARTINDALE DR, DENVER CO 80210"
DANDY,DOG,CHIHUAHUA SH,BROWN,N,SMALL,11/11/2008,8/12/2022,00:00.0,STRAY TAGS,OTC,ADOPTION,EMAIL,NORMAL,T/M GERAT,"1405 S PLATTE RIVER DR, DENVER, CO 80223"
BAMBI,DOG,CHIHUAHUA SH,BROWN,F,SMALL,8/4/2010,2/17/2022,00:00.0,OWNER SUR,OTC,DISPOSAL,DOA,DEAD,DEAD,"1229 S RARITAN ST, DENVER CO 80223"
GUAPO,DOG,DOBERMAN PINSCH,BLACK,N,LARGE,5/23/2011,9/30/2022,00:00.0,OWNER SUR,OTC,DISPOSAL,DOA,DEAD,CREMATION,"743 N TENNYSON ST, DENVER CO 80204"
COCO,DOG,GERM SHEPHERD,TRICOLOR,S,LARGE,9/17/2010,11/29/2022,00:00.0,OWNER SUR,OTC,EUTH,U/U EQ,AGED,CREMATION,859 S LEYDEN ST DENVER 80224
VIOLET,CAT,DOMESTIC SH,GRAY TABBY,S,SMALL,12/20/2001,9/17/2022,00:00.0,FOSTER IN,OTC,ADOPTION,EMAIL,NORMAL,H-HEALTHY,FOSTER IN
VIOLET,CAT,DOMESTIC SH,GRAY TABBY,S,SMALL,12/20/2001,8/8/2022,00:00.0,STRAY,FIELD,FOSTER,,NORMAL,H-HEALTHY,"4831 N TEJON ST, DENVER CO 80221"
MADELINE,DOG,GOLDEN RETR,GOLD,S,LARGE,1/31/2011,10/14/2022,00:00.0,OWNER SUR,FIELD,EUTH,U/U EQ,AGED,CREMATION,"3535 N ADAMS ST, DENVER CO 80205"
TEDDY,DOG,CHIHUAHUA SH,BR BRINDLE,M,SMALL,10/23/2012,10/14/2022,00:00.0,STRAY,FIELD,RTO,FIELD,INJURED,INJURED,"300 S DECATUR ST, DENVER CO 80219"
MARGO,CAT,DOMESTIC MH,TORTIE,S,SMALL,11/11/2010,10/9/2022,00:00.0,CONFISCATE,FIELD,ADOPTION,EMAIL,NORMAL,T/M MED MO,"2974 S BELLAIRE ST, DENVER CO 80222"
ANNIE,DOG,BORDER COLLIE,BLACK,S,MED,4/17/2012,5/11/2022,00:00.0,CONFISCATE,FIELD,DISPOSAL,,DEAD,CREMATION,"481 N ORANGE CT, DENVER CO 80220"
DIESEL,DOG,ROTTWEILER,BLACK,M,LARGE,11/22/2011,1/24/2022,00:00.0,OWNER SUR,OTC,EUTH,U/U EQ,AGED,CREMATION,3147 S BRYANT ST ENGLEWOOD CO 80110
GUERO,DOG,LABRADOR RETR,YELLOW,M,MED,7/27/2010,10/30/2022,00:00.0,STRAY,OTC,RTO,OFFICE,INJURED,NORMAL,MISSISSIPI
DIAMOND,DOG,AMER BULLDOG,WHITE,F,LARGE,8/28/2012,10/16/2022,00:00.0,STRAY TAGS,OTC,RTO,OFFICE,NORMAL,NORMAL,"2900 N EUDORA ST, DENVER CO 80207"
MS SOPHIE,CAT,DOMESTIC SH,BRN TABBY,S,SMALL,9/6/2007,8/8/2022,00:00.0,STRAY,FIELD,TRANSFER,CAT CARE,NORMAL,U/U GERAT,"4831 N TEJON ST, DENVER CO 80221"
GYPSY,DOG,YORKSHIRE TERR,BLACK,S,SMALL,10/1/2010,3/19/2022,00:00.0,STRAY TAGS,OTC,RTO,OFFICE,NORMAL,NORMAL,"2001 S SHERMAN ST, DENVER CO 80210"
MOLLY,DOG,DOBERMAN PINSCH,BROWN,F,LARGE,1/18/2012,9/8/2022,00:00.0,OWNER SUR,OTC,EUTH,,NORMAL,U/U HIS AG,"1555 W CEDAR AVE, DENVER CO 80223"
RUSTY,DOG,CHIHUAHUA SH,TAN,N,SMALL,12/11/2013,3/7/2022,00:00.0,OWNER SUR,OTC,ADOPTION,EMAIL,NORMAL,T/M MED MO,"801 S TEJON ST, DENVER CO 80223"
TOBY,DOG,GERM SHEPHERD,BLACK,M,LARGE,1/12/2014,11/15/2022,00:00.0,OWNER SUR,OTC,DISPOSAL,,DEAD,DEAD,3475 W KENTUCKY AVE DENVER 80219
EARL,DOG,BLUETICK HOUND,TRICOLOR,N,LARGE,5/17/2010,3/17/2022,00:00.0,OWNER SUR,OTC,DISPOSAL,DOA,DEAD,DEAD,"5541 N WHEELING ST, DENVER CO 80239"
MAC,DOG,LABRADOR RETR,BLACK,N,LARGE,4/21/2010,10/21/2022,00:00.0,OWNER SUR,OTC,EUTH,U/U EQ,AGED,,"1215 N GLENCOE ST, DENVER CO 80220"
TRAVI,DOG,ROTTWEILER,TRICOLOR,N,LARGE,5/15/2009,12/27/2022,00:00.0,OWNER SUR,OTC,EUTH,U/U EQ,SICK,CREMATION,"3121 W ALASKA PL, DENVER CO 80219"
CHAPARRO,DOG,CHIHUAHUA SH,BLACK,M,SMALL,8/25/2006,2/25/2022,00:00.0,OWNER SUR,OTC,EUTH,U/U EQ,AGED,,"1305 N XAVIER ST, DENVER CO 80204"
BABY,CAT,PERSIAN,WHITE,S,SMALL,3/6/2011,8/29/2022,00:00.0,OWNER SUR,OTC,DISPOSAL,DOA,DEAD,CREMATION,"313 N ELATI ST, DENVER CO 80223"
PEEWEE,DOG,POODLE MIN,CREAM,M,SMALL,8/9/2007,4/23/2022,00:00.0,STRAY TAGS,OTC,RTO,OFFICE,NORMAL,NORMAL,"2001 W ALAMEDA AVE, DENVER CO 80223"
MAISIE,DOG,AUST SHEPHERD,BLACK,S,MED,4/29/2014,5/11/2022,00:00.0,CONFISCATE,FIELD,RTO,OFFICE,SICK,NORMAL,"481 N ORANGE CT, DENVER CO 80220"
OSITA,DOG,ROTTWEILER,BLACK,F,LARGE,2/25/2014,8/26/2022,00:00.0,OWNER SUR,OTC,EUTH,U/U EQ,SICK,CREMATION,"3429 W EXPOSITION AVE, DENVER CO 80219"
OREO,DOG,SHIH TZU,BLACK,N,SMALL,1/26/2013,5/26/2022,00:00.0,OWNER SUR,OTC,EUTH,U/U EQ,SICK,CREMATION,"100 S GRAPE ST GLENDALE, CO 80246"
KATY PURRY,CAT,DOMESTIC LH,WHITE,S,SMALL,3/6/2013,11/15/2022,00:00.0,OWNER SUR,OTC,EUTH,U/U EQ,SICK,CREMATION,"3300 W FLORIDA AVE, DENVER CO 80219"
MAX,DOG,WH TERRIER,TAN,M,SMALL,3/21/2009,5/29/2022,00:00.0,OWNER SUR,OTC,EUTH,U/U EQ,NORMAL,CREMATION,"6301 W HAMPDEN AVE, DENVER CO 80227"
BELLA,DOG,SHIH TZU,WHITE,S,SMALL,10/31/2012,3/14/2022,00:00.0,OWNER SUR,OTC,RTO,OFFICE,NORMAL,,"1601 S NEWTON ST, DENVER CO 80219"
MUFFIN,DOG,CHIHUAHUA SH,TAN,S,SMALL,4/1/2014,3/14/2022,00:00.0,OWNER SUR,OTC,RTO,OFFICE,NORMAL,,"1601 S NEWTON ST, DENVER CO 80219"
CHICLET,DOG,CHIHUAHUA SH,TAN,S,SMALL,4/18/2014,3/7/2022,00:00.0,OWNER SUR,OTC,TRANSFER,HOPE 4 A,NORMAL,T/M FEARFU,"801 S TEJON ST, DENVER CO 80223"
LEILA,DOG,BOXER,BROWN,S,LARGE,6/2/2013,7/15/2022,00:00.0,OWNER SUR,OTC,EUTH,U/U EQ,NORMAL,,"2735 W BATES AVE, DENVER CO 80236"
PRINCESS,DOG,YORKSHIRE TERR,BROWN,F,SMALL,7/11/2011,5/19/2022,00:00.0,OWNER SUR,OTC,DISPOSAL,DOA,DEAD,CREMATION,"1357 S ELIOT ST, DENVER CO 80219"
DEZI ARNEZ,DOG,HAVANESE,WHITE,N,SMALL,7/31/2014,10/28/2022,00:00.0,OWNER SUR,OTC,DISPOSAL,DOA,DEAD,CREMATION,"1150 N SYRACUSE ST, DENVER CO 80220"
REESE,DOG,LABRADOR RETR,TRICOLOR,S,LARGE,9/6/2014,5/20/2022,00:00.0,OWNER SUR,OTC,EUTH,U/U EQ,*AGG HIST*,,4830 N TEJON ST
SOX,DOG,AMER BULLDOG,BLACK,M,LARGE,10/11/2014,11/23/2022,00:00.0,OWNER SUR,OTC,EUTH,,NORMAL,U/U MED SV,"12352 E HICKMAN PL, DENVER CO 80239"
CHICO,DOG,CHIHUAHUA SH,BROWN,N,SMALL,6/24/2015,3/7/2022,00:00.0,OWNER SUR,OTC,TRANSFER,HARLEYHOH,NORMAL,T/M MED MO,"801 S TEJON ST, DENVER CO 80223"
BUDDY,DOG,GERM SHEPHERD,TAN,M,MED,12/5/2015,8/25/2022,00:00.0,OWNER SUR,OTC,RTO,OFFICE,NORMAL,NORMAL,"3300 W FLORIDA AVE, DENVER CO 80219"
SYLVESTER,CAT,DOMESTIC MH,BLACK,N,SMALL,5/7/2015,3/6/2022,00:00.0,CONFISCATE,FIELD,ADOPTION,EMAIL,FEARFUL,H-HEALTHY,"333 W ELLSWORTH AVE, DENVER CO 80223"
PRECIOUS,DOG,SHIH TZU,BLACK,S,SMALL,5/8/2010,4/24/2022,00:00.0,OWNER SUR,NONCONFIRM,EUTH,U/U EQ,AGED,U/U MED SV,"3121 W OHIO AVE, DENVER CO 80219"
SCOOBY,DOG,DACHSHUND,BLACK,M,SMALL,5/20/2006,4/28/2022,00:00.0,OWNER SUR,OTC,EUTH,U/U EQ,AGED,CREMATION,"4526 N WYANDOT ST, DENVER CO 80211"
ZOOM,DOG,SIBERIAN HUSKY,BLACK,N,LARGE,4/17/2016,6/16/2022,00:00.0,STRAY,FIELD,RTO,FIELD,NORMAL,NORMAL,"29 S UTICA ST, DENVER CO 80219"
BAMBAM,CAT,DOMESTIC SH,WHITE,N,SMALL,2/21/2016,5/23/2022,00:00.0,OWNER SUR,OTC,ADOPTION,EMAIL,NORMAL,T/M MED MO,"371 S KENDALL ST, LAKEWOOD, CO 80226"
NENE,DOG,CHIHUAHUA SH,CREAM,F,SMALL,1/22/2014,5/10/2022,00:00.0,CONFISCATE,POLICE,RTO,OFFICE,NORMAL,NORMAL,"333 W ELLSWORTH AVE, DENVER CO 80223"
NICKI,DOG,CHIHUAHUA SH,BLACK,M,SMALL,12/22/2015,5/10/2022,00:00.0,CONFISCATE,POLICE,RTO,OFFICE,NORMAL,NORMAL,"333 W ELLSWORTH AVE, DENVER CO 80223"
OREGANO,DOG,CHIHUAHUA LH,BLACK,N,TOY,3/18/2016,10/14/2022,00:00.0,OWNER SUR,OTC,TRANSFER,PAWS & CO,NORMAL,T/M FEARFU,"1045 S IRVING ST, DENVER CO 80219"
OREO,DOG,CHIHUAHUA LH,BLACK,M,SMALL,8/9/2013,3/8/2022,00:00.0,OWNER SUR,OTC,DISPOSAL,DOA,DEAD,CREMATION,"1333 S QUIETO CT, DENVER CO 80223"
MACK,DOG,AUST CATTLE DOG,TAN,N,LARGE,9/1/2014,5/13/2022,00:00.0,STRAY TAGS,FIELD,ADOPTION,EMAIL,NORMAL,H-HEALTHY,"2815 N CLAY ST, DENVER CO 80211"
MAX,DOG,BASSET HOUND,BLACK,N,MED,7/5/2010,6/15/2022,00:00.0,STRAY TAGS,FIELD,RTO,EMAIL,NORMAL,NORMAL,"5552 N JASPER ST, DENVER CO 80239"
MAX,DOG,BASSET HOUND,BLACK,N,MED,7/5/2010,9/2/2022,00:00.0,STRAY,FIELD,RTO,,NORMAL,NORMAL,"5552 N JASPER ST, DENVER CO 80239"
PRINCESS,DOG,AMER BULLDOG,BRN TIGER,S,MED,4/10/2016,12/1/2022,00:00.0,STRAY,FIELD,RTO,OFFICE,NORMAL,NORMAL,"5511 N SCRANTON ST, DENVER CO 80239"
SILVER,DOG,SIBERIAN HUSKY,GRAY,S,LARGE,7/11/2016,6/29/2022,00:00.0,STRAY TAGS,DROP BOX,RTO,OFFICE,NORMAL,NORMAL,"2701 E 50TH AVE, DENVER CO 80216"
FAT BOY,DOG,CHIHUAHUA SH,BLACK,M,MED,6/12/2010,2/22/2022,00:00.0,STRAY,OTC,RTO,OFFICE,NORMAL,H-HEALTHY,"1340 W BAYAUD AVE, DENVER CO 80223"
NAKESHA,DOG,BOXER,BR BRINDLE,F,MED,10/31/2015,7/23/2022,00:00.0,CONFISCATE,FIELD,EUTH,,*AGG HIST*,U/U HIS AG,"333 W ELLSWORTH AVE, DENVER CO 80223"
TITO,DOG,WH TERRIER,GRAY,N,SMALL,11/17/2013,2/12/2022,00:00.0,STRAY,OTC,RTO,OFFICE,NORMAL,NORMAL,"1241 W BAYAUD AVE, DENVER CO 80223"
KANE,DOG,GERM SHEPHERD,BLACK,N,LARGE,12/4/2013,9/12/2022,00:00.0,STRAY,DROP BOX,RTO,EMAIL,NORMAL,NORMAL,"1241 W BAYAUD AVE DENVER, CO 80223"
KYTO,DOG,CHINESE SHARPEI,BROWN,N,LARGE,12/7/2010,8/1/2022,00:00.0,OWNER SUR,OTC,EUTH,,NORMAL,U/U MED SV,"1865 LARIMER ST, DENVER CO 80202"
REX,DOG,SHIH TZU,BLACK,N,SMALL,12/14/2013,4/4/2022,00:00.0,OWNER SUR,OTC,EUTH,U/U EQ,NORMAL,CREMATION,"118 N JULIAN ST, DENVER CO 80219"
HAVOC,DOG,AM PIT BULL TER,WHITE,F,MED,1/3/2015,2/18/2022,00:00.0,STRAY,OTC,EUTH,,NORMAL,U/U HIS AG,"1312 S UMATILLA ST, DENVER CO 80223"
ROBBIE,CAT,DOMESTIC SH,WHITE,N,SMALL,1/26/2016,4/8/2022,00:00.0,OWNER SUR,NIGHT OWN,FOSTER,,NORMAL,NORMAL,"2937 CURTIS ST DENVER, CO"
ROBBIE,CAT,DOMESTIC SH,WHITE,N,SMALL,1/26/2016,5/1/2022,00:00.0,FOSTER IN,OTC,ADOPTION,EMAIL,NORMAL,NORMAL,FOSTER IN
DIJON,DOG,LABRADOR RETR,BLACK,S,LARGE,3/24/2015,1/26/2022,00:00.0,CONFISCATE,FIELD,EUTH,,CRUELTY,U/U AGG,"16204 E 54TH AVE, DENVER CO 80239"
COOLIE,DOG,PIT BULL,BR BRINDLE,M,MED,4/20/2015,5/10/2022,00:00.0,STRAY TAGS,FIELD,RTO,FIELD,INJURED,INJURED,"4072 N ORLEANS CT, DENVER CO 80249"
BRAX,DOG,CHIHUAHUA SH,BROWN,N,TOY,3/11/2010,3/11/2022,00:00.0,OWNER SUR,OTC,ADOPTION,EMAIL,NORMAL,H-HEALTHY,"5093 N TUCSON WAY, DENVER CO 80239"
TYSON,DOG,AMER BULLDOG,BR BRINDLE,M,SMALL,7/26/2015,10/16/2022,00:00.0,STRAY TAGS,OTC,RTO,OFFICE,NORMAL,NORMAL,"2900 N EUDORA ST, DENVER CO 80207"
DOC,DOG,BOXER,BROWN,N,MED,9/17/2016,9/29/2022,00:00.0,STRAY TAGS,FIELD,ADOPTION,EMAIL,FEARFUL,T/M MED MO,"1790 W MOSIER PL, DENVER CO 80223"
PRINCESS,DOG,WHIPPET,BR BRINDLE,S,LARGE,6/3/2015,7/3/2022,00:00.0,STRAY,DROP BOX,RTO,OFFICE,NORMAL,NORMAL,3353 LARIMER ST. DENVER CO
MAX,DOG,AUST SHEPHERD,TAN,N,MED,6/19/2011,9/21/2022,00:00.0,STRAY TAGS,FIELD,RTO,FIELD,NORMAL,NORMAL,"4775 N ARGONNE ST, DENVER CO 80249"
LOLA,DOG,MALTESE,TAN,S,SMALL,6/20/2014,12/27/2022,00:00.0,OWNER SUR,OTC,DISPOSAL,DOA,DEAD,DEAD,18587 E 47TH PL DENVER CO 80249
CHIQUITA,DOG,CHIHUAHUA LH,BLACK,S,SMALL,2/27/2017,7/3/2022,00:00.0,STRAY,DROP BOX,RTO,OFFICE,NORMAL,NORMAL,UNKNOWN
CHIQUITA,DOG,CHIHUAHUA LH,BLACK,S,SMALL,2/27/2017,7/17/2022,00:00.0,STRAY TAGS,DROP BOX,RTO,OFFICE,NORMAL,NORMAL,UNKNOWN
IBANA,DOG,BOXER,FAWN,S,MED,7/12/2009,3/24/2022,00:00.0,OWNER SUR,OTC,EUTH,,NORMAL,U/U GERAT,"4615 W ALASKA PL, DENVER CO 80219"
PRINCE,DOG,GERM SHEPHERD,BLACK,M,LARGE,8/1/2012,1/20/2022,00:00.0,OWNER SUR,OTC,EUTH,U/U EQ,AGED,U/U MED SV,"4843 N KIRK ST, DENVER CO 80249"
SAMSON,DOG,GERM SHEPHERD,BLACK,N,LARGE,7/20/2015,9/29/2022,00:00.0,STRAY TAGS,OTC,RTO,EMAIL,NORMAL,NORMAL,"3000 W DARTMOUTH AVE, ENGLEWOOD CO 80110"
BABY DOG,DOG,DACHSHUND,BLACK,N,SMALL,1/1/2017,3/10/2022,00:00.0,CONFISCATE,FIELD,RTO,OFFICE,INJURED,NORMAL,"2900 ARKINS CT, DENVER CO 80216"
BABY,DOG,YORKSHIRE TERR,GRAY,F,SMALL,2/5/2010,7/16/2022,00:00.0,OWNER SUR,OTC,EUTH,U/U EQ,SICK,CREMATION,"3934 W WALSH PL, DENVER CO 80219"
CUTY,DOG,CHIHUAHUA SH,TAN,S,TOY,8/26/2014,2/14/2022,00:00.0,STRAY,OTC,DIED,,INJURED,,"299 S STUART ST, DENVER CO 80219"
KUNTA KINTE,DOG,AMER BULLDOG,BROWN,M,LARGE,3/6/2015,5/30/2022,00:00.0,OWNER SUR,DROP BOX,RTO,OFFICE,NORMAL,NORMAL,"1241 W BAYAUD AVE, DENVER CO 80223"
KUNTA KINTE,DOG,AMER BULLDOG,BROWN,M,LARGE,3/6/2015,11/7/2022,00:00.0,STRAY TAGS,FIELD,RTO,EMAIL,NORMAL,NORMAL,"5600 N BUCKLEY RD, DENVER CO 80249"
GAUGE,DOG,AUST CATTLE DOG,BROWN,N,LARGE,9/10/2013,7/23/2022,00:00.0,STRAY TAGS,OTC,RTO,OFFICE,NORMAL,NORMAL,"100 N HOOKER ST, DENVER CO 80219"
TONY,DOG,ALASK MALAMUTE,BLACK,M,LARGE,9/17/2015,10/2/2022,00:00.0,OWNER SUR,OTC,EUTH,,NORMAL,U/U MED SV,2232 W. JEWELL AVE DENVER 80223
ANGEL,DOG,POODLE MIN,WHITE,N,SMALL,10/21/2009,7/6/2022,00:00.0,STRAY,OTC,RTO,OFFICE,NORMAL,NORMAL,"300 S FEDERAL BLVD, DENVER CO 80219"
ALASKA,DOG,SIBERIAN HUSKY,WHITE,S,LARGE,10/21/2016,12/26/2022,00:00.0,STRAY TAGS,OTC,RTO,EMAIL,NORMAL,NORMAL,"480 S CANOSA CT, DENVER CO 80219"
PRINCESS PEACH,DOG,AMER BULLDOG,WHITE,S,LARGE,10/25/2014,8/31/2022,00:00.0,CONFISCATE,FIELD,RTO,OFFICE,NORMAL,NORMAL,"10100 E GIRARD AVE, DENVER CO 80231"
PARCHEESI,CAT,DOMESTIC SH,WHITE,N,SMALL,11/4/2012,9/9/2022,00:00.0,OWNER SUR,OTC,FOSTER,,NORMAL,T/M GERAT,"4694 N CLAYTON ST, DENVER CO 80216"
PARCHEESI,CAT,DOMESTIC SH,WHITE,N,SMALL,11/4/2012,10/20/2022,00:00.0,FOSTER IN,OTC,ADOPTION,EMAIL,NORMAL,T/M MED MO,FOSTER IN
OTIS,DOG,LABRADOR RETR,CHOCOLATE,M,LARGE,7/22/2013,7/21/2022,00:00.0,CONFISCATE,OWNER HOSP,RTO,OFFICE,NORMAL,NORMAL,"1200 S BROADWAY, DENVER CO 80210"
